text,lang
"Hello, how are you today?",en
"hello, how are you today?",en
"HELLO, HOW ARE YOU TODAY?",en
"Hello, how are you today?",en
"Hello, how are you today!",en
"Hello, how are you today?",en
"Hello, how are you today?.",en
"Hello, how are you today?!",en
"Hello, how a",en
re you today?,en
"  Hello, how are you today?  ",en
"Hello,  how  are  you  today?",en
"User: Hello, how are you today?",en
"Hello, how are you today? (detected)",en
"The weather is quite lovely, isn't it?",en
"the weather is quite lovely, isn't it?",en
"THE WEATHER IS QUITE LOVELY, ISN'T IT?",en
"The weather is quite lovely, isn't it?",en
"The weather is quite lovely, isn't it!",en
"The weather is quite lovely, isn't it?",en
"The weather is quite lovely, isn't it?.",en
"The weather is quite lovely, isn't it?!",en
The weather is quit,en
"e lovely, isn't it?",en
"  The weather is quite lovely, isn't it?  ",en
"The  weather  is  quite  lovely,  isn't  it?",en
"User: The weather is quite lovely, isn't it?",en
"The weather is quite lovely, isn't it? (detected)",en
"I would like to order a large coffee, please.",en
"i would like to order a large coffee, please.",en
"I WOULD LIKE TO ORDER A LARGE COFFEE, PLEASE.",en
"I would like to order a large coffee, please.",en
"I would like to order a large coffee, please.",en
"I would like to order a large coffee, please...",en
"I would like to order a large coffee, please..",en
"I would like to order a large coffee, please.!",en
I would like to order ,en
"a large coffee, please.",en
"  I would like to order a large coffee, please.  ",en
"I  would  like  to  order  a  large  coffee,  please.",en
"User: I would like to order a large coffee, please.",en
"I would like to order a large coffee, please. (detected)",en
Where is the nearest train station?,en
where is the nearest train station?,en
WHERE IS THE NEAREST TRAIN STATION?,en
Where is the nearest train station?,en
Where is the nearest train station!,en
Where is the nearest train station?,en
Where is the nearest train station?.,en
Where is the nearest train station?!,en
Where is the near,en
est train station?,en
  Where is the nearest train station?  ,en
Where  is  the  nearest  train  station?,en
User: Where is the nearest train station?,en
Where is the nearest train station? (detected),en
Artificial Intelligence is changing the world.,en
artificial intelligence is changing the world.,en
ARTIFICIAL INTELLIGENCE IS CHANGING THE WORLD.,en
Artificial intelligence is changing the world.,en
Artificial Intelligence is changing the world.,en
Artificial Intelligence is changing the world...,en
Artificial Intelligence is changing the world..,en
