text,lang
Hello there,en
Meeting at 6 pm 😊,en
What's going on?,en
What's going on? 😊,en
Hello there,en
Send me the report ASAP,en
lol 😊,en
Check https://example.com,en
lol!,en
lol,en
See you soon!,en
yo!,en
yo! 😊,en
ok!,en
Meeting at 6 pm 😊,en
Meeting at 6 pm!,en
yo!,en
ok!,en
What's going on?! 😊,en
What's going on?!,en
lol,en
lol,en
Meeting at 6 pm,en
Email me now!,en
Send me the report ASAP!,en
Send me the report ASAP!,en
ok! 😊,en
What's going on?,en
Hello there!,en
Check https://example.com! 😊,en
Email me now 😊,en
See you soon! 😊,en
lol,en
See you soon,en
Email me now 😊,en
Check https://example.com 😊,en
Hello there!,en
yo 😊,en
See you soon!,en
See you soon 😊,en
Email me now! 😊,en
What's going on?,en
Hello there! 😊,en
Meeting at 6 pm!,en
What's going on?,en
Check https://example.com,en
Check https://example.com,en
yo,en
What's going on?! 😊,en
yo 😊,en
Wie geht's?,de
Siehe https://beispiel.de! 😊,de
Treffen um 18 Uhr!,de
Siehe https://beispiel.de,de
Wie geht's?!,de
Mail mir bitte,de
ok,de
Bis bald,de
ja! 😊,de
ok,de
Wie geht's?! 😊,de
ok!,de
Schick mir die Datei!,de
Wie geht's?! 😊,de
Hallo,de
lol! 😊,de
Schick mir die Datei,de
Mail mir bitte!,de
Hallo,de
Hallo!,de
Mail mir bitte 😊,de
Siehe https://beispiel.de!,de
ok!,de
ja!,de
lol,de
ok!,de
lol,de
lol,de
ja,de
ja,de
Wie geht's?!,de
Treffen um 18 Uhr,de
Schick mir die Datei!,de
lol! 😊,de
lol 😊,de
Bis bald 😊,de
lol!,de
ok,de
Mail mir bitte! 😊,de
Mail mir bitte!,de
Hallo!,de
ja!,de
Hallo,de
Hallo!,de
Mail mir bitte,de
Mail mir bitte 😊,de
Wie geht's?,de
ok!,de
ja 😊,de
ja! 😊,de
Rendez-vous à 20h!,fr
Rendez-vous à 20h! 😊,fr
Envoie le fichier!,fr
À bientôt,fr
ok! 😊,fr
oui!,fr
oui!,fr
À bientôt 😊,fr
ok,fr
Envoie le fichier,fr
Voir https://exemple.fr!,fr
ok 😊,fr
lol,fr
Envoie le fichier!,fr
Envoie le fichier!,fr
Mail moi 😊,fr
Bonjour!,fr
À bientôt,fr
ok!,fr
Rendez-vous à 20h 😊,fr
À bientôt,fr
ok 😊,fr
Ça va?!,fr
Envoie le fichier!,fr
oui 😊,fr
Ça va? 😊,fr
À bientôt!,fr
Ça va?! 😊,fr
Bonjour!,fr
Envoie le fichier,fr
Voir https://exemple.fr!,fr
Voir https://exemple.fr 😊,fr
oui!,fr
Mail moi! 😊,fr
Mail moi! 😊,fr
ok 😊,fr
Bonjour! 😊,fr
Voir https://exemple.fr!,fr
Rendez-vous à 20h!,fr
Envoie le fichier,fr
Rendez-vous à 20h,fr
Envoie le fichier!,fr
oui!,fr
Ça va?!,fr
Envoie le fichier!,fr
À bientôt!,fr
Ça va?!,fr
oui!,fr
Rendez-vous à 20h!,fr
Voir https://exemple.fr!,fr
lol!,es
Hasta luego,es
Hasta luego 😊,es
Hola! 😊,es
sí,es
Nos vemos a las 7,es
¿Qué tal?,es
Mira https://ejemplo.es 😊,es
Hasta luego! 😊,es
Nos vemos a las 7,es
ok 😊,es
sí,es
sí!,es
¿Qué tal?,es
Hola! 😊,es
Correo ahora 😊,es
¿Qué tal?!,es
Hola! 😊,es
Hasta luego!,es
Hasta luego 😊,es
Hasta luego!,es
Nos vemos a las 7,es
sí,es
Hola! 😊,es
Hasta luego!,es
lol 😊,es
Mira https://ejemplo.es! 😊,es
lol! 😊,es
Correo ahora,es
Mira https://ejemplo.es!,es
ok,es
Envíame el archivo,es
Nos vemos a las 7 😊,es
Correo ahora!,es
ok!,es
Hola!,es
Envíame el archivo! 😊,es
ok!,es
Hasta luego!,es
¿Qué tal?!,es
Mira https://ejemplo.es,es
Hasta luego!,es
ok,es
Envíame el archivo 😊,es
Mira https://ejemplo.es,es
Envíame el archivo!,es
ok 😊,es
Hasta luego! 😊,es
ok!,es
sí! 😊,es
lol!,hi
लिंक देखो https://example.in!,hi
नमस्ते 😊,hi
हाँ!,hi
6 बजे मिलते हैं,hi
6 बजे मिलते हैं!,hi
फाइल भेजो 😊,hi
नमस्ते!,hi
lol,hi
मेल करो!,hi
फाइल भेजो! 😊,hi
लिंक देखो https://example.in,hi
फाइल भेजो,hi
हाँ!,hi
नमस्ते!,hi
कैसे हो?,hi
कैसे हो? 😊,hi
मेल करो!,hi
मेल करो 😊,hi
कैसे हो?!,hi
कैसे हो?! 😊,hi
हाँ,hi
हाँ,hi
हाँ 😊,hi
हाँ!,hi
फाइल भेजो! 😊,hi
6 बजे मिलते हैं,hi
फिर मिलेंगे,hi
फाइल भेजो! 😊,hi
हाँ,hi
कैसे हो?,hi
फाइल भेजो!,hi
कैसे हो?,hi
ठीक!,hi
फाइल भेजो,hi
मेल करो! 😊,hi
6 बजे मिलते हैं,hi
फिर मिलेंगे,hi
फिर मिलेंगे!,hi
ठीक,hi
लिंक देखो https://example.in 😊,hi
lol 😊,hi
कैसे हो?!,hi
फिर मिलेंगे!,hi
कैसे हो?,hi
6 बजे मिलते हैं,hi
कैसे हो?,hi
लिंक देखो https://example.in!,hi
कैसे हो?!,hi
नमस्ते!,hi
好! 😊,zh
发送文件 😊,zh
你好!,zh
你好 😊,zh
是,zh
再见 😊,zh
你好,zh
你好!,zh
你好吗？,zh
lol!,zh
你好,zh
发邮件!,zh
发送文件,zh
再见,zh
你好! 😊,zh
查看 https://例子.cn! 😊,zh
7点见 😊,zh
7点见 😊,zh
再见,zh
lol,zh
7点见,zh
发邮件,zh
再见 😊,zh
查看 https://例子.cn,zh
发送文件!,zh
你好,zh
发邮件! 😊,zh
发送文件!,zh
发邮件!,zh
查看 https://例子.cn!,zh
再见! 😊,zh
发送文件 😊,zh
7点见,zh
是,zh
发邮件!,zh
发邮件!,zh
你好 😊,zh
发送文件,zh
好!,zh
查看 https://例子.cn! 😊,zh
你好吗？,zh
lol!,zh
lol! 😊,zh
是 😊,zh
发送文件 😊,zh
lol 😊,zh
lol! 😊,zh
发送文件 😊,zh
7点见!,zh
你好吗？!,zh
